True Probabilities,Estimated Probabilities,Random Betting
770,210,-401
900,680,-449
750,400,-250
890,430,236
900,470,-96
980,560,-222
830,530,-259
1390,980,530
1130,470,55
480,20,-369
1150,850,341
860,690,-44
1310,500,62
1170,780,539
1390,1010,411
930,200,-415
790,120,-648
930,590,75
1030,240,96
1040,650,-309
880,650,-116
790,610,-23
1230,530,208
1260,650,330
690,200,-606
750,330,-61
1360,650,-37
900,1140,540
1030,390,43
1130,640,353
1110,360,-37
1170,870,166
1400,840,151
1130,550,434
850,490,54
910,610,3
1040,290,-254
1290,650,420
1010,670,159
860,390,-208
690,530,-127
1220,780,160
640,190,129
1340,730,402
1330,970,282
1040,510,257
1060,910,54
720,590,-25
760,440,142
850,350,-324
1090,900,454
850,440,-22
1220,830,270
1000,820,212
540,10,-631
910,340,-134
1190,820,242
970,560,-384
930,670,66
1290,580,794
880,330,-296
740,-40,-403
1140,1100,-10
1050,480,-147
600,490,75
1030,770,392
920,690,-72
870,570,-183
960,170,-136
780,230,-419
1120,660,-126
980,520,39
1260,940,478
660,470,-440
940,620,200
980,730,-45
1180,460,254
960,260,80
1270,820,367
500,70,-425
1240,570,360
810,240,-199
910,400,-314
1070,470,84
480,-100,-493
670,120,-206
680,500,56
1150,760,129
1340,1000,397
1260,580,-1
1070,520,-86
1260,720,332
760,170,-217
1310,1070,507
920,610,-173
970,300,84
520,490,-335
1250,540,481
920,830,-298
1110,320,138
920,590,72
980,740,179
740,100,55
1260,1170,310
1050,630,212
980,730,-115
1170,810,115
1220,730,-41
950,560,-118
930,240,-273
1020,1000,256
1270,870,14
1120,630,201
930,420,-10
1010,620,382
890,420,-186
1040,700,113
1190,860,454
700,370,-473
980,660,-21
860,420,81
840,590,-413
620,110,-416
1230,650,-42
1200,900,491
1030,810,-402
1170,690,18
760,330,-312
770,220,-371
1280,850,202
1170,880,380
580,-100,-143
1150,910,270
1180,820,327
760,600,-3
1040,760,-191
720,470,-26
930,590,189
1140,700,47
620,90,-511
1100,370,242
720,260,-152
890,420,-717
820,780,-35
1330,750,719
1020,390,-4
1150,770,224
1540,1230,279
1340,600,86
1180,790,-68
760,550,-218
790,210,193
710,190,-109
870,400,99
1480,1000,328
950,560,-65
1120,400,102
1150,650,-114
640,530,-19
910,640,127
1110,600,298
700,340,-259
550,90,-704
740,490,-241
750,10,-528
830,350,-329
890,510,-46
710,390,-201
1040,460,-161
1290,760,577
1000,490,-215
890,560,-80
1320,940,805
1050,330,-295
930,410,-123
940,430,-320
950,440,-99
900,290,-62
1010,440,285
1600,1050,792
890,420,-56
810,330,-279
770,560,-38
1010,510,165
1100,760,161
800,30,-354
970,510,-120
1150,870,599
1050,820,-5
940,1040,275
770,310,-523
630,150,-330
1230,420,-108
800,280,-19
1100,570,420
1060,620,113
900,380,-87
780,610,267
690,390,-270
1040,530,38
1030,570,99
1050,310,-88
1000,660,-257
1230,950,341
1140,700,-189
1020,420,-78
890,280,-528
1210,1050,458
670,560,-44
950,440,217
1180,870,164
1230,990,272
1330,720,423
1190,1070,555
1150,640,88
1220,1050,168
1250,910,68
1090,750,469
830,90,-70
680,220,-137
990,590,-77
1070,600,49
970,530,268
1170,680,-76
410,120,-128
1000,-20,13
830,310,-238
410,200,-362
1150,510,122
1200,640,-150
650,140,-104
1350,860,160
630,-40,-184
1260,820,280
1050,890,120
810,620,-342
1220,920,242
1110,690,529
1160,730,-167
1070,510,11
1120,600,12
1000,830,665
1160,860,684
850,520,-207
920,720,-136
1070,430,-62
1130,850,293
1110,840,216
1110,1000,442
1360,620,159
1070,760,42
990,50,-466
900,550,174
1280,780,256
1070,550,-13
1170,510,160
1080,440,-209
1050,560,59
1040,550,297
1340,1020,263
1160,550,-83
1100,860,29
1240,910,276
670,560,-257
1140,830,91
1180,900,360
1350,990,359
580,-100,-453
1450,960,214
560,330,-551
500,180,-575
840,510,473
1280,780,393
830,150,-118
840,590,-313
1280,800,436
1260,760,98
1100,690,180
1210,750,448
680,640,-281
1140,550,-182
1460,980,245
980,550,-36
1220,690,95
930,480,1
1060,960,308
670,610,-275
870,640,81
820,100,-277
1440,790,551
1050,630,-28
950,730,433
990,440,282
830,530,-396
1030,440,27
1060,790,-124
650,-40,-384
1130,860,-97
1040,600,-126
860,420,-394
810,320,48
810,450,-6
770,480,-49
930,480,72
1110,590,224
1090,570,-162
1340,1060,193
780,270,-116
1090,530,-89
1110,880,61
930,520,274
1120,980,66
1410,990,-98
800,540,-54
940,770,101
1040,660,132
890,550,-434
1060,500,218
580,230,-462
860,740,-12
1000,510,104
1270,710,111
990,760,-76
990,590,306
1160,650,121
1330,1060,350
1430,570,312
820,510,143
860,450,-111
1060,990,93
1110,670,-105
1130,-10,-16
560,100,-154
1490,710,504
690,350,-69
980,400,62
770,450,15
1230,830,410
1210,780,452
880,660,-344
1060,800,65
1020,560,16
1250,950,306
1240,860,597
1160,710,-121
1070,530,9
630,170,-103
720,320,-319
1110,600,100
1010,450,-93
1250,730,208
840,350,-250
1050,690,-24
1260,510,44
470,340,59
1360,1050,418
1080,800,302
970,530,335
810,430,-68
1160,920,250
1170,600,287
530,230,-8
990,640,126
1170,690,302
790,240,-223
1400,870,373
990,630,-266
1030,550,182
920,450,140
1100,950,511
450,180,-438
980,820,227
660,180,-502
500,150,-342
950,580,-14
850,480,79
840,380,295
1210,910,422
1000,450,-62
1170,890,258
1510,720,629
840,400,-459
160,-30,-370
620,330,29
810,380,-16
860,540,-1
680,310,-204
1200,430,161
1430,1040,543
700,420,-399
1190,850,86
960,480,-91
1030,470,-21
1180,370,310
760,220,-109
950,390,236
1150,510,123
960,620,59
570,-90,-353
730,520,-284
830,900,-245
1040,400,63
1270,730,617
550,30,-255
880,400,-140
440,-50,-387
1320,590,273
1330,1440,659
700,380,-355
1120,970,53
1210,830,304
900,230,-195
1120,740,256
820,330,-497
1210,900,120
1040,640,-151
1390,810,503
810,400,125
890,740,-176
1120,630,255
870,610,329
830,380,-95
730,310,-552
940,490,-98
940,570,90
1030,640,-128
990,450,-167
770,620,-40
1390,500,284
1080,590,3
1080,490,283
740,120,-163
1040,730,37
920,430,-177
930,710,-229
1040,820,171
910,220,-272
850,520,-113
1150,440,27
660,390,-373
1100,440,20
940,680,-112
1160,850,8
820,260,-510
750,610,5
890,470,-409
1140,700,249
670,550,-716
830,470,-110
1220,810,52
630,410,0
940,790,-67
1000,470,86
1040,550,257
830,320,-110
790,180,-181
660,340,33
910,330,36
750,600,-94
610,560,70
1150,380,9
1150,880,94
1030,530,432
680,500,-319
850,530,-250
890,690,257
1000,580,107
750,300,-11
1420,710,251
1080,860,242
1040,490,-26
1110,670,13
1200,850,328
840,480,31
1450,910,300
880,550,-187
1090,510,-262
1020,510,25
1210,600,-145
810,390,-51
780,580,214
1220,690,56
1030,680,-89
820,720,-114
750,330,174
980,510,-220
750,270,-417
560,320,-256
1180,820,45
970,330,-330
1090,600,386
620,370,-324
1090,450,201
980,580,442
850,540,-118
780,300,-474
640,-220,-771
860,560,-172
1170,950,183
960,590,-102
1110,520,260
1100,520,138
980,660,26
1490,1350,827
1160,660,-123
890,290,99
810,310,-93
1150,500,-297
990,600,-59
960,710,-54
910,460,74
690,500,-5
1490,1190,531
1150,370,272
830,570,41
850,530,-336
890,710,126
770,470,-42
670,690,-75
850,340,-327
580,290,-187
1180,920,165
940,810,-215
890,280,-355
1030,750,177
1280,750,179
850,360,28
1020,710,195
1240,610,117
1040,380,-88
1240,520,267
1070,330,-124
1280,660,225
730,660,-104
570,130,-309
820,740,366
1050,620,132
650,330,-335
1170,750,236
1020,730,-238
820,550,-187
1160,720,205
1020,680,412
1020,860,-101
750,150,-158
710,280,-381
830,380,-151
730,130,-168
